"298.54096520763187,",9.037520392
"312.0089786756453,",10.60358891
"322.7833894500561,",14.5187602
"332.6599326599327,",22.21859706
"339.8428731762065,",34.74714519
"349.719416386083,",48.18923328
"364.0852974186307,",58.36867863
"372.1661054994388,",64.37194127
"385.6341189674523,",67.37357259
"400.8978675645342,",72.33278956
"412.5701459034792,",75.46492659
"421.54882154882154,",78.07504078
"435.016835016835,",83.42577488
"437.7104377104377,",86.03588907
"448.4848484848485,",89.55954323
"464.64646464646466,",92.43066884
"480.80808080808083,",94.38825449
"499.66329966329965,",95.30179445
"525.7014590347924,",96.21533442
"539.1694725028059,",96.34584013
"558.0246913580247,",96.47634584
"580.4713804713805,",96.73735726
"600.2244668911336,",96.86786297
"623.5690235690236,",97.2593801
"648.7093153759821,",97.52039152
"674.7474747474747,",97.52039152
"705.2749719416386,",98.04241436
"725.0280583613917,",98.17292007
"752.8619528619529,",98.30342577
"772.615039281706,",98.04241436
"793.2659932659933,",98.04241436
"810.3254769921436,",97.38988581
"821.9977553310887,",96.60685155
"839.0572390572391,",97.65089723
"855.2188552188553,",94.25774878
"860.6060606060606,",92.95269168
"871.3804713804715,",83.81729201
"874.0740740740741,",61.37030995
"878.5634118967453,",23.39314845
"882.1548821548822,",11.77814029
"888.4399551066218,",4.861337684
"905.4994388327722,",1.990212072
"926.1503928170596,",0.554649266
"939.6184062850731,",0.163132137
"831.8742985409652,",96.99836868
